variant,cumulative_return,sharpe,sortino,calmar,value_at_risk_95,conditional_value_at_risk_95,max_drawdown,win_rate,profit_factor,avg_slippage_bps,avg_latency_ms,trade_count,risk_blocked
full_system,0.004204407075363292,0.0103434332093124,0.01079862441607392,6.801443351500227e-05,0.00044835558877276416,0.0005430172142710783,0.04346847141920058,0.75,2.915631975999821,12.514847103440312,25.0,24,0
no_risk_engine,0.032639562205890815,0.18232716177732738,0.10956948917420352,0.005224606573688655,0.00013584923393872295,0.0002997814416425209,0.004273538465748507,0.75,20.874195509224574,12.524653664421058,25.0,24,0
no_memory,0.004204407075363292,0.0103434332093124,0.01079862441607392,6.801443351500227e-05,0.00044835558877276416,0.0005430172142710783,0.04346847141920058,0.75,2.915631975999821,12.514847103440312,25.0,24,0
no_news,0.004204407075363292,0.0103434332093124,0.01079862441607392,6.801443351500227e-05,0.00044835558877276416,0.0005430172142710783,0.04346847141920058,0.75,2.915631975999821,12.514847103440312,25.0,24,0
no_slippage,0.008268544200174421,0.020331468339307594,0.02139292136428172,0.000137169493062576,0.00044497016366507047,0.000531895730012231,0.04201072939676376,0.75,3.7180092456194074,0.0,25.0,24,0
no_latency,0.004204407075363292,0.0103434332093124,0.01079862441607392,6.801443351500227e-05,0.00044835558877276416,0.0005430172142710783,0.04346847141920058,0.75,2.915631975999821,12.514847103440312,0.0,24,0
